tahun,provinsi,kabupaten_kota,timbulan_harian_ton,timbulan_tahunan_ton,pengurangan_ton,pct_pengurangan,penanganan_ton,pct_penanganan,terkelola_ton,pct_terkelola,daur_ulang_ton,bahan_baku_ton,recycling_rate,periode,komposisi_makanan_pct,komposisi_kayu_pct,komposisi_kertas_pct,komposisi_plastik_pct,komposisi_logam_pct,komposisi_kain_pct,komposisi_karet_pct,komposisi_kaca_pct,komposisi_lainnya_pct,gap_tidak_tertangani_ton,kategori_pengelolaan
2025,Sumatera Barat,Kab. Solok Selatan,67.68,24702.03,49.16,0.2,13274.99,53.74,13324.15,53.94,0,7913.15,32.03,P 2,34.35,0.78,16.35,25.69,0.13,0.59,0.55,2.31,19.25,11379.05,Kurang (30-60%)
2025,Sumatera Barat,Kota Sawahlunto,19.24,7024.21,129.26,1.84,6357.8,90.51,6487.06,92.35,128.3,1236.85,19.43,P 2,46,10,11,14,3,5,4,5,2,535.54,Baik (>80%)
2025,Sumatera Barat,Kota Payakumbuh,97.39,35546.69,5.6,0.02,5612.04,15.79,5617.64,15.8,0,5612.04,15.79,P 2,48.25,9.81,15.45,17.47,2.01,1.17,0.45,0.89,4.5,29929.71,Sangat Kurang (<30%)
2025,Sumatera Barat,Kota Pariaman,41.76,15241.09,0,0,2142.06,14.05,2142.06,14.05,0,2142.06,14.05,P 2,,,,,,,,,,13100.34,Sangat Kurang (<30%)
2025,Riau,Kab. Siak,198.3,72380.96,0,0,0,0,,,,,,,39,15,10,26,1,2,2,3,2,,Sangat Kurang (<30%)
2025,Riau,Kota Pekanbaru,1050.84,383556.27,0,0,0,0,,,,,,,32.58,11.89,6.45,37.57,7.62,0.03,,0.05,3.81,,Sangat Kurang (<30%)
2025,Riau,Kota Dumai,177.63,64834.22,0,0,0,0,,,,,,,48.97,7.5,5.3,8.95,2.27,3.72,2.5,2.79,18,,Sangat Kurang (<30%)
2025,Jambi,Kab. Batanghari,128.11,46761.03,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,Sumatera Selatan,Kab. Ogan Komering Ulu,156.02,56947.01,0,0,0,0,,,,,,,35,25,10,15,7,3,2,3,,,Sangat Kurang (<30%)
2025,Sumatera Selatan,Kab. Musi Banyuasin,288.22,105199.57,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,282.53,103124.76,0,0,0,0,,,,,,,12,9,22,27,3,5,3,2,17,,Sangat Kurang (<30%)
2025,Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,162.78,59412.95,0,0,34851.66,58.66,34851.66,58.66,0,1768.06,2.98,P 2,48,16,16,11,3,2,1,1,2,24563.04,Kurang (30-60%)
2025,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,107.4,39200.09,0,0,0,0,,,,,,,54.33,1.26,10.86,21.7,0.37,2.12,0.53,1.68,7.15,,Sangat Kurang (<30%)
2025,Sumatera Selatan,Kota Pagar Alam,78.13,28515.63,0,0,17530.95,61.48,17530.95,61.48,0,109.5,0.38,P 2,34.2,12.3,7.2,32.4,2.3,2.7,2.7,1.2,5,10986.5,Cukup (60-80%)
2025,Sumatera Selatan,Kota Prabumulih,102.95,37577.66,13.21,0.04,7667.11,20.4,7680.33,20.44,0,7667.11,20.4,P 2,42.88,1.44,9.02,39.72,4,0.04,0.09,2.8,0.01,29896.42,Sangat Kurang (<30%)
2025,Bengkulu,Kab. Seluma,108.75,39695.03,0,0,0,0,,,,,,,80,8.5,5,2,0.5,1,,,3,,Sangat Kurang (<30%)
2025,Bengkulu,Kab. Lebong,46.47,16960.67,0,0,0,0,,,,,,,64.45,8.58,8.56,12.84,0.2,0.89,1.6,0.73,2.1,,Sangat Kurang (<30%)
2025,Bengkulu,Kab. Bengkulu Tengah,61.34,22387.82,0,0,194.73,0.87,194.73,0.87,0,194.73,0.87,P 2,,,,,,,,,,22194.37,Sangat Kurang (<30%)
2025,Bengkulu,Kota Bengkulu,203.92,74431.35,0,0,0,0,,,,,,,65,3,13,11,1,1,1,1,4,,Sangat Kurang (<30%)
2025,Lampung,Kab. Lampung Selatan,780.07,284724.35,0.16,0,142.42,0.05,142.58,0.05,0,142.42,0.05,P 2,65,1,11,14,3.5,1,1,2.5,1,284582.97,Sangat Kurang (<30%)
2025,Lampung,Kab. Lampung Tengah,686.29,250495.7,0,0,0,0,,,,,,,41,,2,24,1,19,8,3,2,,Sangat Kurang (<30%)
2025,Lampung,Kab. Lampung Utara,270.25,98641.4,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,Lampung,Kab. Lampung Barat,127.87,46670.8,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,Lampung,Kab. Tulang Bawang,176.02,64245.84,0,0,9.34,0.01,9.34,0.01,0,9.34,0.01,P 2,70,13,5,6,,,,,6,64237.96,Sangat Kurang (<30%)
2025,Lampung,Kab. Tanggamus,375.42,137029.76,56.68,0.04,20423.18,14.9,20479.86,14.95,0,9207.18,6.72,P 2,31,25,13,21,1,1,1,2,5,116548.44,Sangat Kurang (<30%)
2025,Lampung,Kab. Way Kanan,198.02,72278.47,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,Lampung,Kab. Pesawaran,200.42,73152.86,214.56,0.29,4860.93,6.64,5075.49,6.94,0,4860.93,6.64,P 2,23,20,10,15,15,3,,10,4,68077.81,Sangat Kurang (<30%)
2025,Lampung,Kab. Mesuji,97.58,35615.53,0,0,0,0,,,,,,,20,40,10,20,,3,,7,,,Sangat Kurang (<30%)
2025,Lampung,Kab. Tulang Bawang Barat,119.48,43609.62,0,0,0,0,,,,,,,74.51,4.55,,17.73,0.21,0.63,0.15,0.94,1.28,,Sangat Kurang (<30%)
2025,Lampung,Kab. Pesisir Barat,69.48,25360.2,25.2,0.1,0,0,25.2,0.1,0,0,0,P 2,42.5,19.2,9.5,21.1,0.6,2,0.9,1.2,3,25335,Sangat Kurang (<30%)
2025,Kepulauan Bangka Belitung,Kab. Bangka Selatan,87.96,32105.98,0,0,0,0,,,,,,,15,15,15,30,10,5,7,1,2,,Sangat Kurang (<30%)
2025,Kepulauan Bangka Belitung,Kab. Bangka Tengah,116.04,42355.8,38.56,0.09,8257.68,19.5,8296.24,19.59,37.23,8257.68,19.58,P 2,41.9,8.5,3.8,14.3,3.9,4.9,,5.5,17.2,34058.36,Sangat Kurang (<30%)
2025,Kepulauan Bangka Belitung,Kab. Bangka Barat,87.61,31977.94,19.93,0.06,8233.49,25.75,8253.42,25.81,18.26,568.49,1.83,P 2,41,6.5,19,15.4,1.8,0.5,2.8,10,3,23724.23,Sangat Kurang (<30%)
2025,Kepulauan Bangka Belitung,Kab. Belitung Timur,53.22,19425.74,0,0,1211.45,6.24,1211.45,6.24,0,1211.45,6.24,P 2,57,,5,17,2,2,2,1,14,18213.85,Sangat Kurang (<30%)
2025,Kepulauan Riau,Kab. Bintan,60.18,21964.66,256.99,1.17,17338.04,78.94,17595.04,80.11,239.08,1304.61,7.03,P 2,40.32,5.6,10.41,27.35,0.97,1.94,0.36,1.31,11.74,4370.66,Baik (>80%)
2025,Kepulauan Riau,Kab. Natuna,33.84,12351.6,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,DKI Jakarta,Kab. Adm. Kep. Seribu,24.42,8913.39,662,7.43,1532.17,17.19,2194.17,24.62,599.06,1532.17,23.91,P 2,,,,,,,,,,6719.13,Sangat Kurang (<30%)
2025,DKI Jakarta,Kota Adm. Jakarta Pusat,858.09,313203.39,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,DKI Jakarta,Kota Adm. Jakarta Utara,1711.55,624714.06,586.19,0.09,188242.99,30.13,188829.19,30.23,586.19,142701.94,22.94,P 2,,,,,,,,,,435886.56,Kurang (30-60%)
2025,DKI Jakarta,Kota Adm. Jakarta Barat,2213.61,807966.6,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,DKI Jakarta,Kota Adm. Jakarta Selatan,2005.43,731982.61,35.27,0,219993.45,30.05,220028.72,30.06,35.27,204213.77,27.9,P 2,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,511953.23,Kurang (30-60%)
2025,DKI Jakarta,Kota Adm. Jakarta Timur,2374.14,866562.58,0,0,0,0,,,,,,,49.87,3.18,17.24,22.95,17.24,0.9,0.7,1.48,2.6,,Sangat Kurang (<30%)
2025,Jawa Barat,Kab. Ciamis,506.53,184884.18,0,0,0,0,,,,,,,38,0.4,16,20,10,4,1,10.2,0.4,,Sangat Kurang (<30%)
